OTU_ID	1A	1B	1C	1D	1E	2A	2B	2C	2D	2E	3A	3B	3C	3D	3E
OTU_88	0	1	0	4	0	57	0	9	0	0	0	0	0	0	0
OTU_89	3	6	3	6	0	29	43	20	3	0	0	0	0	0	0
OTU_90	3	2	4	16	0	1	4	71	0	0	0	0	0	0	0
OTU_91	1	19	0	43	0	40	0	5	9	0	0	0	0	0	0
OTU_92	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0
OTU_93	0	0	0	80	0	3	0	20	0	0	0	0	0	0	0
OTU_94	27	3	2	0	0	1	0	8	11	0	2	6	10	0	0
OTU_95	33	0	1	1	0	2	1	4	0	0	19	11	13	4	0
OTU_96	0	0	0	8	0	3	0	0	53	0	0	0	0	0	0
OTU_97	0	0	0	5	0	68	0	1	0	0	0	0	0	0	0
OTU_98	0	0	0	3	0	0	0	0	48	0	0	0	0	0	0
OTU_99	8	5	2	7	0	1	0	7	0	0	3	1	24	0	0
OTU_100	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0
OTU_101	0	0	0	0	0	13	0	127	0	0	0	0	0	0	0
OTU_102	0	8	0	2	0	61	1	3	0	0	0	0	0	0	0
OTU_103	0	9	1	4	0	21	5	15	0	0	0	0	6	0	0
OTU_104	14	1	4	8	0	12	1	11	0	0	2	2	2	1	0
OTU_105	6	1	9	4	0	0	0	4	34	0	2	11	1	0	0
OTU_106	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0
OTU_107	45	1	2	4	0	0	0	2	0	0	0	1	6	0	0
OTU_108	6	10	3	38	0	277	65	147	8	2	0	0	0	0	0
OTU_109	0	1	0	10	0	0	0	0	42	0	0	0	0	0	0
OTU_110	3	2	0	0	0	1	0	0	47	0	0	0	5	0	0
OTU_111	0	1	0	4	0	21	48	3	0	0	0	0	0	0	0
OTU_112	21	2	0	2	0	1	0	0	22	0	1	1	1	0	0
OTU_113	0	5	3	5	0	20	7	17	14	0	0	0	0	0	0
OTU_114	4	2	0	3	0	9	0	0	38	0	5	0	1	0	0
OTU_115	0	0	0	2	0	0	57	0	0	0	0	0	0	0	0
OTU_116	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0
OTU_117	0	1	0	1	0	52	0	2	0	0	0	0	0	0	0
OTU_118	0	8	3	3	0	13	3	15	0	0	0	0	1	0	0
OTU_119	0	2	0	14	0	2	0	3	48	0	0	0	0	0	0
OTU_120	7	31	0	9	0	0	0	3	0	0	0	0	0	0	0
OTU_121	0	2	0	0	0	40	0	1	0	0	0	0	0	0	0
OTU_122	4	7	0	3	0	0	0	2	28	0	0	0	0	0	0
OTU_123	4	2	0	8	0	20	0	12	0	0	4	0	8	0	0
OTU_124	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0
OTU_125	2	0	0	0	0	37	0	2	0	0	0	3	1	0	0
OTU_126	3	4	3	9	0	8	5	12	4	0	0	0	0	0	0
OTU_127	4	22	5	79	2	42	76	34	16	0	0	0	0	0	0
OTU_128	0	9	0	3	0	0	0	42	0	0	0	0	0	0	0
OTU_129	1	62	1	3	0	0	1	0	1	0	0	0	0	0	0
OTU_130	0	0	0	2	0	6	0	66	1	0	0	0	0	0	0
OTU_131	0	0	0	0	0	0	32	1	0	0	0	0	0	0	0
OTU_132	0	0	0	8	0	1	1	3	43	0	0	0	0	0	0
OTU_133	0	1	0	2	0	0	0	0	33	0	0	0	0	0	0
OTU_134	1	4	0	25	3	21	2	8	7	0	0	0	0	0	0
OTU_135	0	5	0	6	0	4	37	0	0	0	0	0	0	0	0
OTU_136	0	9	0	22	0	24	16	0	5	0	0	0	0	0	0
OTU_137	0	1	0	55	0	3	0	3	0	0	0	0	0	0	0
OTU_138	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0
OTU_139	0	1	0	67	0	1	0	2	0	0	0	0	0	0	0
OTU_140	0	1	0	20	0	4	0	10	0	0	0	0	0	0	0
OTU_141	0	0	0	7	0	55	1	0	0	0	0	0	0	0	3
OTU_142	0	0	0	3	0	0	0	0	33	0	0	0	0	0	0
OTU_143	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
OTU_144	0	1	0	13	0	40	0	3	1	0	0	0	0	0	0
OTU_145	3	13	5	4	0	3	1	19	6	0	0	0	0	0	0
OTU_146	0	0	0	0	1	0	0	0	39	0	0	0	0	0	0
OTU_147	0	0	0	0	0	11	0	62	0	0	0	0	0	0	0
OTU_148	0	11	0	23	0	29	26	0	2	0	0	0	0	0	0
OTU_149	5	3	2	13	0	7	14	9	5	0	0	0	0	0	0
OTU_150	20	1	0	6	0	2	0	0	0	0	2	2	0	0	0
OTU_151	19	3	0	0	0	0	0	11	0	1	0	0	2	0	0
OTU_152	0	5	0	4	0	3	0	34	0	0	0	0	0	0	0
OTU_153	0	0	0	1	0	5	0	48	0	0	0	0	0	0	0
OTU_154	0	3	0	15	0	16	20	3	3	0	0	0	0	0	0
OTU_155	0	0	0	2	0	12	0	26	1	0	0	0	0	0	0
OTU_156	1	3	0	6	0	16	17	15	0	0	0	0	0	0	16
OTU_157	0	0	0	3	0	3	0	55	0	0	0	0	0	0	0
OTU_158	0	0	0	80	0	0	0	1	0	0	0	0	0	0	6
OTU_159	0	0	0	73	0	0	0	4	1	0	0	0	0	0	0
OTU_160	7	0	0	3	0	1	0	36	1	0	0	0	0	0	0
OTU_161	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0
OTU_162	1	2	3	11	0	27	14	13	5	0	0	0	0	0	0
OTU_163	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0
OTU_164	0	8	0	31	0	51	48	44	8	0	0	0	0	0	0
OTU_165	1	4	0	4	0	16	28	8	3	0	0	0	0	0	0
OTU_166	0	0	1	2	0	11	2	37	0	0	0	0	0	1	0
OTU_167	0	0	0	30	0	0	0	0	43	0	0	0	0	0	0
OTU_168	0	0	0	37	0	7	0	1	0	0	0	0	0	0	0
OTU_169	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0
OTU_170	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0
OTU_171	0	0	0	29	0	0	0	0	0	0	0	1	0	0	0
OTU_172	0	1	0	0	0	0	0	26	0	0	0	1	0	0	0
OTU_173	0	2	0	3	4	6	32	0	0	1	0	0	0	0	0
